symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_diff,rank_status
JINDALSAW,Capital Goods,257.15,0.2309958821587037,16.51,45.64,58,"[53, 56, 47, 52, 58]",False,112,18,up
GMRAIRPORT,Services,107.96,0.23242041794217938,11.96,16.54,58,"[57, 57, 54, 57, 58]",False,113,4,up
SIEMENS,Capital Goods,3681.0,0.23049422055286128,-3.34,27.19,57,"[54, 51, 56, 58, 57]",False,114,0,stable
LALPATHLAB,Healthcare,1805.2,0.22959976732179976,32.36,29.45,57,"[52, 50, 51, 59, 57]",False,115,-4,down
BAJFINANCE,Financial Services,1048.4,0.22618832272093825,12.58,15.32,57,"[50, 47, 38, 55, 57]",False,116,6,up
GLAND,Healthcare,2428.3,0.22235530739409937,38.7,44.9,56,"[64, 64, 57, 54, 56]",False,117,10,up
PAYTM,Financial Services,1307.9,0.22348432233646642,19.36,14.25,56,"[67, 58, 53, 52, 56]",False,118,13,up
VIJAYA,Healthcare,1359.1,0.22136296524066235,20.32,40.34,55,"[72, 68, 54, 53, 55]",False,119,9,up
THERMAX,Capital Goods,4416.5,0.21939721540117962,8.75,56.64,55,"[64, 58, 55, 56, 55]",False,120,0,stable
WELSPUNLIV,Textiles,160.23,0.2217959584124658,24.32,27.27,55,"[55, 55, 51, 59, 55]",False,121,-9,down
IIFL,Financial Services,582.35,0.2103658825795356,26.89,12.42,54,"[42, 42, 37, 51, 54]",False,122,13,up
ANGELONE,Financial Services,302.6,0.21085555876606032,-1.68,20.23,54,"[60, 49, 46, 54, 54]",False,123,3,up
ADANIENT,Metals & Mining,3002.3,0.2190164157944492,24.72,53.29,54,"[61, 60, 54, 56, 54]",False,124,-5,down
YESBANK,Financial Services,22.81,0.2082127594353551,14.45,8.52,53,"[52, 52, 50, 54, 53]",False,125,0,stable
AEGISVOPAK,Oil Gas & Consumable Fuels,292.46,0.2085981209858363,54.35,32.81,53,"[26, 33, 41, 60, 53]",False,126,-16,down
ABSLAMC,Financial Services,999.2,0.20519731312796075,0.89,31.46,52,"[60, 54, 58, 51, 52]",False,127,6,up
CHOLAFIN,Financial Services,1753.0,0.2057970589604461,12.21,7.03,52,"[49, 45, 45, 55, 52]",False,128,-4,down
IFCI,Financial Services,68.52,0.20651355418104345,16.75,21.88,52,"[58, 56, 52, 58, 52]",False,129,-13,down
SUNPHARMA,Healthcare,1976.7,0.20005014349086636,9.6,21.71,51,"[55, 53, 53, 52, 51]",False,130,2,up
ASIANPAINT,Consumer Durables,2736.2,0.19967125652830897,12.9,5.23,51,"[51, 51, 48, 51, 51]",False,131,3,up
TECHM,Information Technology,1635.2,0.1968433392294835,13.86,-3.86,51,"[39, 36, 39, 45, 51]",False,132,18,up
GODREJIND,Diversified,1309.2,0.18594606397299174,36.51,34.77,50,"[61, 55, 56, 53, 50]",False,133,-4,down
